code,name,start,end,nav_rows,baseline_roi,strategy_roi,excess_return,baseline_mdd,strategy_mdd,baseline_total_invested,strategy_total_invested,baseline_terminal_value,strategy_terminal_value,strategy_average_cost,baseline_average_cost
270042,广发纳斯达克100ETF联接人民币(QDII)A,2012-08-15,2026-04-29,3206,2.5430346826603105,2.5416780418475784,-0.0013566408127321239,-0.2872141397038105,-0.2872114754448686,320600.0,320600.0,1135896.9192608956,1135461.9802163336,2.165753044000183,2.164923769315357
000834,大成纳斯达克100ETF联接(QDII)A,2014-11-13,2026-04-29,2693,1.9231236501761932,1.9248504116365734,0.0017267614603801995,-0.2665898830450445,-0.26661665969519444,269300.0,269300.0,787197.1989924489,787662.2158537293,2.033266377090516,2.0344674778439638
016452,南方纳斯达克100指数发起(QDII)A,2022-11-29,2026-04-29,773,0.37227922281377723,0.36955352301018807,-0.0027256998035891655,-0.1661980728418182,-0.16608195190182473,77300.0,77300.0,106077.18392350498,105866.48732868754,1.5656197176487052,1.5625099938505556
161130,易方达纳斯达克100ETF联接(QDII-LOF)A人民币,2017-06-23,2026-04-29,2075,1.2745604021558727,1.2783037683974268,0.0037433662415540248,-0.26069623916879514,-0.25405878006770133,207500.0,207500.0,471971.28344734357,472748.03194246604,1.8209160944846927,1.8239128739196708
040046,华安纳斯达克100ETF联接(QDII)A,2013-08-02,2026-04-29,2988,2.3891439659127665,2.388995425099363,-0.00014854081340365255,-0.2767404002354782,-0.27674424243398654,298800.0,298800.0,1012676.2170147346,1012631.8330196895,2.2702597775783135,2.27016027568716
160213,国泰纳斯达克100指数,2011-03-29,2026-04-29,3553,0.6964190601079352,0.697964381453674,0.0015453213457388149,-0.603537668928372,-0.6034070150590919,355300.0,355300.0,602737.6920563494,603286.7447304904,2.4564708456540725,2.4587085220173246
539001,建信纳斯达克100指数(QDII)A人民币,2011-03-29,2026-04-29,3499,1.443861626140789,1.4452657651419667,0.00140413900117764,-0.2435671242431352,-0.24359210285480082,349900.0,349900.0,855107.1829866621,855598.4912231741,1.3215741397387046,1.3223334600589327
015299,华夏纳斯达克100ETF发起式联接(QDII)A,2022-04-14,2026-04-29,944,0.4965739391280295,0.4939764481205431,-0.0025974910074864077,-0.18917385705557999,-0.18911294881446306,94400.0,94400.0,141276.57985368598,141031.37670257926,1.2709035690546586,1.2686977571627813
016055,博时纳斯达克100ETF发起式联接(QDII)A人民币,2022-07-26,2026-04-29,878,0.47334988340494655,0.4705947997075064,-0.0027550836974401527,-0.17916281923806232,-0.17908541022065172,87800.0,87800.0,129360.1197629543,129118.22341431906,1.3436740021065057,1.3411614052145016
016532,嘉实纳斯达克100ETF发起联接(QDII)A人民币,2022-09-15,2026-04-29,844,0.422540622930174,0.42029260363508536,-0.0022480192950886657,-0.17525568953364823,-0.1751790732858235,84400.0,84400.0,120062.42857530668,119872.69574680121,1.4242839784017787,1.4220332041085726
